Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.234052E+04,4.212395E+03,2.231730E+00,3.718444E-01,1.021415E+05,1.289891E+04,7.046385E+00,1.138660E+00,3.250011E+04,4.556401E+03,2.242589E+00,4.022219E-01,2.037644E+04,3.327843E+03,1.406393E+00,2.937805E-01,2.038917E+04,2.977271E+03,1.407255E+00,2.628229E-01
00:20:00,2.990894E+04,3.330894E+03,1.989088E+00,2.940294E-01,9.501473E+04,1.019416E+04,6.308580E+00,8.998917E-01,3.005696E+04,3.603822E+03,1.998798E+00,3.181303E-01,1.882451E+04,2.633941E+03,1.252454E+00,2.325222E-01,1.883678E+04,2.355234E+03,1.253249E+00,2.079107E-01
00:30:00,2.769703E+04,2.469069E+03,1.757374E+00,2.179521E-01,8.855345E+04,7.552538E+03,5.603800E+00,6.666981E-01,2.783329E+04,2.672076E+03,1.765924E+00,2.358785E-01,1.741256E+04,1.954307E+03,1.105481E+00,1.725239E-01,1.742447E+04,1.746610E+03,1.106213E+00,1.541830E-01
00:40:00,2.560520E+04,1.626749E+03,1.531619E+00,1.435973E-01,8.232245E+04,4.973376E+03,4.910370E+00,4.390208E-01,2.572783E+04,1.760972E+03,1.538928E+00,1.554497E-01,1.607880E+04,1.288839E+03,9.623945E-01,1.137767E-01,1.609029E+04,1.151273E+03,9.630609E-01,1.016289E-01
00:50:00,2.359247E+04,8.037742E+02,1.309841E+00,7.095085E-02,7.625024E+04,2.456048E+03,4.224841E+00,2.168043E-01,2.370453E+04,8.703335E+02,1.316059E+00,7.682827E-02,1.479572E+04,6.374351E+02,8.218547E-01,5.627153E-02,1.480685E+04,5.691052E+02,8.224591E-01,5.023765E-02
01:00:00,2.165009E+04,0.000000E+00,1.091614E+00,0.000000E+00,7.031867E+04,0.000000E+00,3.546399E+00,0.000000E+00,2.175250E+04,0.000000E+00,1.096785E+00,0.000000E+00,1.355883E+04,0.000000E+00,6.836443E-01,0.000000E+00,1.356961E+04,0.000000E+00,6.841865E-01,0.000000E+00
01:10:00,2.331203E+04,0.000000E+00,1.173846E+00,0.000000E+00,7.561012E+04,0.000000E+00,3.806928E+00,0.000000E+00,2.341486E+04,0.000000E+00,1.179056E+00,0.000000E+00,1.460933E+04,0.000000E+00,7.356455E-01,0.000000E+00,1.462027E+04,0.000000E+00,7.361964E-01,0.000000E+00
01:20:00,2.390032E+04,0.000000E+00,1.203217E+00,0.000000E+00,7.702678E+04,0.000000E+00,3.877348E+00,0.000000E+00,2.400712E+04,0.000000E+00,1.208631E+00,0.000000E+00,1.498844E+04,0.000000E+00,7.545779E-01,0.000000E+00,1.499951E+04,0.000000E+00,7.551354E-01,0.000000E+00
01:30:00,2.430612E+04,0.000000E+00,1.223544E+00,0.000000E+00,7.786920E+04,0.000000E+00,3.919385E+00,0.000000E+00,2.441843E+04,0.000000E+00,1.229243E+00,0.000000E+00,1.525304E+04,0.000000E+00,7.678325E-01,0.000000E+00,1.526415E+04,0.000000E+00,7.683922E-01,0.000000E+00
01:40:00,2.462434E+04,0.000000E+00,1.239556E+00,0.000000E+00,7.856061E+04,0.000000E+00,3.954108E+00,0.000000E+00,2.474333E+04,0.000000E+00,1.245586E+00,0.000000E+00,1.546090E+04,0.000000E+00,7.782903E-01,0.000000E+00,1.547214E+04,0.000000E+00,7.788568E-01,0.000000E+00
01:50:00,2.489123E+04,0.000000E+00,1.253002E+00,0.000000E+00,7.916303E+04,0.000000E+00,3.984483E+00,0.000000E+00,2.501422E+04,0.000000E+00,1.259229E+00,0.000000E+00,1.563648E+04,0.000000E+00,7.871366E-01,0.000000E+00,1.564779E+04,0.000000E+00,7.877061E-01,0.000000E+00
02:00:00,2.511198E+04,0.000000E+00,1.264130E+00,0.000000E+00,7.968717E+04,0.000000E+00,4.010948E+00,0.000000E+00,2.523822E+04,0.000000E+00,1.270515E+00,0.000000E+00,1.578180E+04,0.000000E+00,7.944644E-01,0.000000E+00,1.579318E+04,0.000000E+00,7.950374E-01,0.000000E+00
02:10:00,2.529767E+04,0.000000E+00,1.273490E+00,0.000000E+00,8.014217E+04,0.000000E+00,4.033920E+00,0.000000E+00,2.542637E+04,0.000000E+00,1.279994E+00,0.000000E+00,1.590446E+04,0.000000E+00,8.006491E-01,0.000000E+00,1.591591E+04,0.000000E+00,8.012260E-01,0.000000E+00
02:20:00,2.545656E+04,0.000000E+00,1.281499E+00,0.000000E+00,8.054251E+04,0.000000E+00,4.054119E+00,0.000000E+00,2.558686E+04,0.000000E+00,1.288079E+00,0.000000E+00,1.601029E+04,0.000000E+00,8.059861E-01,0.000000E+00,1.602179E+04,0.000000E+00,8.065656E-01,0.000000E+00
02:30:00,2.559539E+04,0.000000E+00,1.288499E+00,0.000000E+00,8.089867E+04,0.000000E+00,4.072081E+00,0.000000E+00,2.572612E+04,0.000000E+00,1.295095E+00,0.000000E+00,1.610190E+04,0.000000E+00,8.106097E-01,0.000000E+00,1.611345E+04,0.000000E+00,8.111913E-01,0.000000E+00
02:40:00,2.571732E+04,0.000000E+00,1.294652E+00,0.000000E+00,8.121923E+04,0.000000E+00,4.088241E+00,0.000000E+00,2.584937E+04,0.000000E+00,1.301308E+00,0.000000E+00,1.618228E+04,0.000000E+00,8.146660E-01,0.000000E+00,1.619386E+04,0.000000E+00,8.152494E-01,0.000000E+00
02:50:00,2.582565E+04,0.000000E+00,1.300119E+00,0.000000E+00,8.151006E+04,0.000000E+00,4.102897E+00,0.000000E+00,2.595882E+04,0.000000E+00,1.306830E+00,0.000000E+00,1.625355E+04,0.000000E+00,8.182618E-01,0.000000E+00,1.626516E+04,0.000000E+00,8.188466E-01,0.000000E+00
03:00:00,2.592297E+04,0.000000E+00,1.305029E+00,0.000000E+00,8.177639E+04,0.000000E+00,4.116315E+00,0.000000E+00,2.605726E+04,0.000000E+00,1.311796E+00,0.000000E+00,1.631751E+04,0.000000E+00,8.214882E-01,0.000000E+00,1.632914E+04,0.000000E+00,8.220741E-01,0.000000E+00
03:10:00,2.601140E+04,0.000000E+00,1.309490E+00,0.000000E+00,8.202250E+04,0.000000E+00,4.128712E+00,0.000000E+00,2.614675E+04,0.000000E+00,1.316310E+00,0.000000E+00,1.637552E+04,0.000000E+00,8.244144E-01,0.000000E+00,1.638718E+04,0.000000E+00,8.250015E-01,0.000000E+00
